datetime,date,phase,cash,equity,return_pct
2026-05-06T19:10:21+08:00,2026-05-06,pre_open,119203.82474999994,499904.8247499999,-0.0190350500000158
2026-05-07T09:20:08+08:00,2026-05-07,pre_open,183101.84771447748,499903.8542452392,-0.0192291509521713
2026-05-07T09:47:55+08:00,2026-05-07,open_5m,183101.84771447748,498764.8512545165,-0.2470297490966944
2026-05-07T11:30:04+08:00,2026-05-07,midday,248219.85619079584,502331.85469543457,0.4663709390869242
2026-05-07T15:05:07+08:00,2026-05-07,close,86921.10547631836,508474.1054763184,1.6948210952636875
2026-05-08T09:20:06+08:00,2026-05-08,pre_open,107172.02827294922,508584.0354140625,1.7168070828124993
2026-05-08T09:35:06+08:00,2026-05-08,open_5m,75051.69802294928,506717.6980229493,1.3435396045898609
2026-05-08T11:30:05+08:00,2026-05-08,midday,162744.99240472322,502456.991676116,0.4913983352232032
2026-05-08T15:05:00+08:00,2026-05-08,close,19227.80517226705,505347.80555373675,1.0695611107473413
